date,segment_id,from_intersection,to_intersection,road_name,length_m,lanes,free_flow_speed_kmh,functional_class,daily_volume_proxy,avg_speed_kmh,peak_hour_volume,v_c_ratio,travel_time_min,community_weight
2025-10-03,S031,QNA035,QNA036,映南路,449,2,32,支路,7401,37.4,1239,0.382,0.72,16.483
2025-10-03,S032,QNA036,QNA037,映南路,362,2,32,支路,5995,33.3,1012,0.312,0.65,16.561
2025-10-03,S033,QNA037,QNA038,映南路,223,2,32,支路,7381,37.5,1296,0.4,0.36,33.099
2025-10-03,S034,QNA038,QNA039,映南路,301,2,32,支路,7396,37.5,1234,0.381,0.48,24.571
2025-10-03,S035,QNA039,QNA040,映南路,436,2,32,支路,4654,29.4,787,0.243,0.89,10.674
2025-10-03,S036,QNA001,QNA009,环城西路,454,3,40,次干路,8087,37.0,1276,0.263,0.74,17.813
2025-10-03,S037,QNA009,QNA017,环城西路,422,3,40,次干路,7201,32.5,1177,0.242,0.78,17.064
2025-10-03,S038,QNA017,QNA025,环城西路,359,3,40,次干路,6770,33.0,1135,0.234,0.65,18.858
2025-10-03,S039,QNA025,QNA033,环城西路,390,3,40,次干路,5887,33.5,1007,0.207,0.7,15.095
2025-10-03,S040,QNA002,QNA010,解放南路,452,4,48,主干路,11485,39.4,1983,0.306,0.69,30.491
2025-10-03,S041,QNA010,QNA018,解放南路,332,4,48,主干路,12930,38.4,2146,0.331,0.52,46.735
2025-10-03,S042,QNA018,QNA026,解放南路,327,4,48,主干路,11267,39.7,1710,0.264,0.49,41.347
2025-10-03,S043,QNA026,QNA034,解放南路,474,4,48,主干路,9314,41.3,1420,0.219,0.69,23.58
2025-10-03,S044,QNA003,QNA011,兴国路,329,4,46,主干路,11396,39.7,1939,0.299,0.5,41.566
2025-10-03,S045,QNA011,QNA019,兴国路,463,4,46,主干路,12773,38.7,2233,0.345,0.72,33.105
2025-10-03,S046,QNA019,QNA027,兴国路,456,4,46,主干路,11237,39.9,1882,0.29,0.69,29.571
2025-10-03,S047,QNA027,QNA035,兴国路,589,4,46,主干路,9289,41.3,1532,0.236,0.86,18.925
2025-10-03,S048,QNA004,QNA012,蔡林路,415,3,40,次干路,9346,35.9,1450,0.298,0.69,22.52
2025-10-03,S049,QNA012,QNA020,蔡林路,302,3,40,次干路,8825,31.4,1490,0.307,0.58,29.222
2025-10-03,S050,QNA020,QNA028,蔡林路,515,3,40,次干路,7784,32.5,1242,0.256,0.95,15.115
2025-10-03,S051,QNA028,QNA036,蔡林路,554,3,40,次干路,6297,33.2,1005,0.207,1.0,11.366
2025-10-03,S052,QNA005,QNA013,北坛街,343,3,38,次干路,8041,37.2,1307,0.269,0.55,23.443
2025-10-03,S053,QNA013,QNA021,北坛街,473,3,38,次干路,6347,33.6,996,0.205,0.84,13.419
2025-10-03,S054,QNA021,QNA029,北坛街,320,3,38,次干路,6525,33.5,1042,0.214,0.57,20.391
2025-10-03,S055,QNA029,QNA037,北坛街,562,3,38,次干路,6413,33.3,1070,0.22,1.01,11.411
2025-10-03,S056,QNA006,QNA014,解放北路,430,4,48,主干路,9881,40.7,1558,0.24,0.63,27.575
2025-10-03,S057,QNA014,QNA022,解放北路,601,4,48,主干路,9722,40.9,1584,0.244,0.88,19.412
2025-10-03,S058,QNA022,QNA030,解放北路,596,4,48,主干路,9763,41.0,1443,0.223,0.87,19.657
2025-10-03,S059,QNA030,QNA038,解放北路,465,4,48,主干路,9281,41.2,1485,0.229,0.68,23.951
2025-10-03,S060,QNA007,QNA015,应乾路,575,3,36,次干路,8196,36.9,1254,0.258,0.93,14.254
2025-10-03,S061,QNA015,QNA023,应乾路,378,3,36,次干路,6592,33.1,1057,0.217,0.69,17.439
2025-10-03,S062,QNA023,QNA031,应乾路,640,3,36,次干路,6721,33.2,1073,0.221,1.16,10.502
2025-10-03,S063,QNA031,QNA039,应乾路,315,3,36,次干路,6405,33.4,1045,0.215,0.57,20.333
2025-10-03,S064,QNA008,QNA016,街泉街,211,2,32,支路,7547,37.4,1236,0.381,0.34,35.768
2025-10-03,S065,QNA016,QNA024,街泉街,369,2,32,支路,6047,33.2,1020,0.315,0.67,16.388
2025-10-03,S066,QNA024,QNA032,街泉街,258,2,32,支路,6175,33.3,987,0.305,0.46,23.934
2025-10-03,S067,QNA032,QNA040,街泉街,397,2,32,支路,4753,29.3,777,0.24,0.81,11.972
2025-10-04,S001,QNA001,QNA002,成纪大道,647,4,52,主干路,9021,41.4,1429,0.221,0.94,16.731
2025-10-04,S002,QNA002,QNA003,成纪大道,377,4,52,主干路,9376,41.1,1490,0.23,0.55,29.844
2025-10-04,S003,QNA003,QNA004,成纪大道,332,4,52,主干路,9562,41.1,1544,0.238,0.48,34.561
2025-10-04,S004,QNA004,QNA005,成纪大道,699,4,52,主干路,9698,41.0,1613,0.249,1.02,16.649
2025-10-04,S005,QNA005,QNA006,成纪大道,460,4,52,主干路,9685,41.3,1647,0.254,0.67,25.265
2025-10-04,S006,QNA006,QNA007,成纪大道,445,4,52,主干路,9607,41.2,1617,0.25,0.65,25.907
2025-10-04,S007,QNA007,QNA008,成纪大道,434,4,52,主干路,9326,41.5,1499,0.231,0.63,25.786
2025-10-04,S008,QNA009,QNA010,太白街,391,3,42,次干路,9675,35.9,1523,0.313,0.65,24.744
2025-10-04,S009,QNA010,QNA011,太白街,697,3,42,次干路,12444,38.8,2018,0.415,1.08,17.854
2025-10-04,S010,QNA011,QNA012,太白街,372,3,42,次干路,10579,35.2,1799,0.37,0.63,28.438
2025-10-04,S011,QNA012,QNA013,太白街,666,3,42,次干路,7392,32.6,1199,0.247,1.23,11.099
2025-10-04,S012,QNA013,QNA014,太白街,699,3,42,次干路,7770,37.5,1259,0.259,1.12,11.116
2025-10-04,S013,QNA014,QNA015,太白街,599,3,42,次干路,7935,37.4,1367,0.281,0.96,13.247
2025-10-04,S014,QNA015,QNA016,太白街,364,3,42,次干路,6109,33.4,1059,0.218,0.65,16.783
2025-10-04,S015,QNA017,QNA018,新华街,622,3,40,次干路,9635,36.0,1600,0.329,1.04,15.49
2025-10-04,S016,QNA018,QNA019,新华街,536,3,40,次干路,12343,38.9,2064,0.425,0.83,23.028
2025-10-04,S017,QNA019,QNA020,新华街,336,3,40,次干路,10423,35.2,1716,0.353,0.57,31.021
2025-10-04,S018,QNA020,QNA021,新华街,335,3,40,次干路,7342,32.4,1205,0.248,0.62,21.916
2025-10-04,S019,QNA021,QNA022,新华街,367,3,40,次干路,7770,37.3,1337,0.275,0.59,21.172
2025-10-04,S020,QNA022,QNA023,新华街,431,3,40,次干路,7866,36.9,1252,0.258,0.7,18.251
2025-10-04,S021,QNA023,QNA024,新华街,439,3,40,次干路,6075,32.8,964,0.198,0.8,13.838
2025-10-04,S022,QNA025,QNA026,人民街,578,3,38,次干路,7970,37.0,1210,0.249,0.94,13.789
2025-10-04,S023,QNA026,QNA027,人民街,628,3,38,次干路,9904,40.9,1553,0.32,0.92,15.771
2025-10-04,S024,QNA027,QNA028,人民街,333,3,38,次干路,8352,37.1,1352,0.278,0.54,25.081
2025-10-04,S025,QNA028,QNA029,人民街,607,3,38,次干路,6587,33.1,1052,0.216,1.1,10.852
2025-10-04,S026,QNA029,QNA030,人民街,421,3,38,次干路,7946,37.4,1201,0.247,0.68,18.874
2025-10-04,S027,QNA030,QNA031,人民街,686,3,38,次干路,8005,37.5,1276,0.263,1.1,11.669
2025-10-04,S028,QNA031,QNA032,人民街,652,3,38,次干路,6461,33.4,1035,0.213,1.17,9.91
2025-10-04,S029,QNA033,QNA034,映南路,434,2,32,支路,7047,38.1,1177,0.363,0.68,16.237
2025-10-04,S030,QNA034,QNA035,映南路,332,2,32,支路,8586,42.3,1417,0.437,0.47,25.861
2025-10-04,S031,QNA035,QNA036,映南路,449,2,32,支路,7177,38.1,1202,0.371,0.71,15.984
2025-10-04,S032,QNA036,QNA037,映南路,362,2,32,支路,5845,33.8,935,0.289,0.64,16.146
2025-10-04,S033,QNA037,QNA038,映南路,223,2,32,支路,7178,37.8,1186,0.366,0.35,32.188
2025-10-04,S034,QNA038,QNA039,映南路,301,2,32,支路,7182,38.0,1173,0.362,0.48,23.86
2025-10-04,S035,QNA039,QNA040,映南路,436,2,32,支路,4435,29.9,709,0.219,0.87,10.172
2025-10-04,S036,QNA001,QNA009,环城西路,454,3,40,次干路,7863,37.4,1222,0.251,0.73,17.319
2025-10-04,S037,QNA009,QNA017,环城西路,422,3,40,次干路,6902,33.0,1112,0.229,0.77,16.355
2025-10-04,S038,QNA017,QNA025,环城西路,359,3,40,次干路,6555,33.1,1022,0.21,0.65,18.259
2025-10-04,S039,QNA025,QNA033,环城西路,390,3,40,次干路,5809,33.7,934,0.192,0.69,14.895
2025-10-04,S040,QNA002,QNA010,解放南路,452,4,48,主干路,10834,39.8,1706,0.263,0.68,28.763
2025-10-04,S041,QNA010,QNA018,解放南路,332,4,48,主干路,12408,38.9,1969,0.304,0.51,44.848
2025-10-04,S042,QNA018,QNA026,解放南路,327,4,48,主干路,11050,39.9,1789,0.276,0.49,40.55
2025-10-04,S043,QNA026,QNA034,解放南路,474,4,48,主干路,9208,41.5,1465,0.226,0.69,23.311
